Cargo,Personal Planta Contrato Plazo Fijo,Personal Planta Contrato Plazo Indefinido,Mes,Ano,Empresa
Jefes de Turno,0,3,3,2021,Manuelita
Supervisores Produccion,2,7,3,2021,Manuelita
Supervisores Calidad,0,2,3,2021,Manuelita
Monitores Calidad,4,16,3,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,1,18,3,2021,Manuelita
Tesorero,0,1,3,2021,Manuelita
Asistente Contabilidad,0,2,3,2021,Manuelita
Jefe RRHH,0,1,3,2021,Manuelita
Jefe de Adquisicion,0,1,3,2021,Manuelita
Prevencion de Riesgo,1,0,3,2021,Manuelita
Control de Gestion,0,0,3,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,3,2021,Manuelita
Operarios directos (produccion),31,160,5,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,68,5,2021,Manuelita
Jefes de Turno,0,3,5,2021,Manuelita
Supervisores Produccion,0,8,5,2021,Manuelita
Supervisores Calidad,0,2,5,2021,Manuelita
Monitores Calidad,5,18,5,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,4,14,5,2021,Manuelita
Tesorero,0,1,5,2021,Manuelita
Asistente Contabilidad,0,2,5,2021,Manuelita
Jefe RRHH,0,1,5,2021,Manuelita
Jefe de Adquisicion,0,1,5,2021,Manuelita
Prevencion de Riesgo,1,0,5,2021,Manuelita
Control de Gestion,0,0,5,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,5,2021,Manuelita
Operarios directos (produccion),22,165,6,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,65,6,2021,Manuelita
Jefes de Turno,0,3,6,2021,Manuelita
Supervisores Produccion,0,8,6,2021,Manuelita
Supervisores Calidad,0,2,6,2021,Manuelita
Monitores Calidad,5,17,6,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,0,18,6,2021,Manuelita
Tesorero,0,1,6,2021,Manuelita
Asistente Contabilidad,0,2,6,2021,Manuelita
Jefe RRHH,0,1,6,2021,Manuelita
Jefe de Adquisicion,0,1,6,2021,Manuelita
Prevencion de Riesgo,1,0,6,2021,Manuelita
Control de Gestion,0,0,6,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,6,2021,Manuelita
Operarios directos (produccion),13,151,8,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",3,44,8,2021,Manuelita
Jefes de Turno,0,3,8,2021,Manuelita
Supervisores Produccion,2,7,8,2021,Manuelita
Supervisores Calidad,0,2,8,2021,Manuelita
Monitores Calidad,6,14,8,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,1,13,8,2021,Manuelita
Tesorero,0,1,8,2021,Manuelita
Asistente Contabilidad,0,2,8,2021,Manuelita
Jefe RRHH,0,1,8,2021,Manuelita
Jefe de Adquisicion,0,1,8,2021,Manuelita
Prevencion de Riesgo,0,1,8,2021,Manuelita
Control de Gestion,0,0,8,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,8,2021,Manuelita
Operarios directos (produccion),5,157,9,2021,Manuelita
"Operarios Indirectos (Frigorifico, Aseo, etc)",1,28,9,2021,Manuelita
Jefes de Turno,0,2,9,2021,Manuelita
Supervisores Produccion,2,6,9,2021,Manuelita
Supervisores Calidad,0,2,9,2021,Manuelita
Monitores Calidad,2,18,9,2021,Manuelita
Operadores Mantencion y Administracion Directo Planta (Contador,0,14,9,2021,Manuelita
Tesorero,0,1,9,2021,Manuelita
Asistente Contabilidad,0,2,9,2021,Manuelita
Jefe RRHH,0,1,9,2021,Manuelita
Jefe de Adquisicion,0,1,9,2021,Manuelita
Prevencion de Riesgo,0,1,9,2021,Manuelita
Control de Gestion,0,0,9,2021,Manuelita
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,9,2021,Manuelita
Operarios directos (produccion),158,18,1,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",33,4,1,2021,Sudmaris
Jefes de Turno,0,2,1,2021,Sudmaris
Supervisores Produccion,5,6,1,2021,Sudmaris
Supervisores Calidad,0,2,1,2021,Sudmaris
Monitores Calidad,9,4,1,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,1,2021,Sudmaris
Tesorero,1,1,1,2021,Sudmaris
Asistente Contabilidad,0,2,1,2021,Sudmaris
Jefe RRHH,0,1,1,2021,Sudmaris
Jefe de Adquisicion,0,1,1,2021,Sudmaris
Prevencion de Riesgo,1,2,1,2021,Sudmaris
Control de Gestion,0,2,1,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,1,25,1,2021,Sudmaris
Operarios directos (produccion),0,0,2,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,2,2021,Sudmaris
Jefes de Turno,0,0,2,2021,Sudmaris
Supervisores Produccion,0,0,2,2021,Sudmaris
Supervisores Calidad,0,0,2,2021,Sudmaris
Monitores Calidad,0,0,2,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,2,2021,Sudmaris
Tesorero,0,0,2,2021,Sudmaris
Asistente Contabilidad,0,0,2,2021,Sudmaris
Jefe RRHH,0,0,2,2021,Sudmaris
Jefe de Adquisicion,0,0,2,2021,Sudmaris
Prevencion de Riesgo,0,0,2,2021,Sudmaris
Control de Gestion,0,0,2,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,2,2021,Sudmaris
Operarios directos (produccion),161,17,2,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",31,4,2,2021,Sudmaris
Jefes de Turno,0,2,2,2021,Sudmaris
Supervisores Produccion,6,4,2,2021,Sudmaris
Supervisores Calidad,0,2,2,2021,Sudmaris
Monitores Calidad,9,4,2,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,2,2021,Sudmaris
Tesorero,1,1,2,2021,Sudmaris
Asistente Contabilidad,0,2,2,2021,Sudmaris
Jefe RRHH,0,1,2,2021,Sudmaris
Jefe de Adquisicion,0,1,2,2021,Sudmaris
Prevencion de Riesgo,1,2,2,2021,Sudmaris
Control de Gestion,0,2,2,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,3,23,2,2021,Sudmaris
Operarios directos (produccion),0,0,3,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,3,2021,Sudmaris
Jefes de Turno,0,0,3,2021,Sudmaris
Supervisores Produccion,0,0,3,2021,Sudmaris
Supervisores Calidad,0,0,3,2021,Sudmaris
Monitores Calidad,0,0,3,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,3,2021,Sudmaris
Tesorero,0,0,3,2021,Sudmaris
Asistente Contabilidad,0,0,3,2021,Sudmaris
Jefe RRHH,0,0,3,2021,Sudmaris
Jefe de Adquisicion,0,0,3,2021,Sudmaris
Prevencion de Riesgo,0,0,3,2021,Sudmaris
Control de Gestion,0,0,3,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,3,2021,Sudmaris
Operarios directos (produccion),158,16,3,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",33,4,3,2021,Sudmaris
Jefes de Turno,0,2,3,2021,Sudmaris
Supervisores Produccion,4,6,3,2021,Sudmaris
Supervisores Calidad,0,2,3,2021,Sudmaris
Monitores Calidad,4,9,3,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,3,2021,Sudmaris
Tesorero,0,2,3,2021,Sudmaris
Asistente Contabilidad,0,2,3,2021,Sudmaris
Jefe RRHH,0,1,3,2021,Sudmaris
Jefe de Adquisicion,0,1,3,2021,Sudmaris
Prevencion de Riesgo,1,2,3,2021,Sudmaris
Control de Gestion,0,2,3,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,4,29,3,2021,Sudmaris
Operarios directos (produccion),0,0,4,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,4,2021,Sudmaris
Jefes de Turno,0,0,4,2021,Sudmaris
Supervisores Produccion,0,0,4,2021,Sudmaris
Supervisores Calidad,0,0,4,2021,Sudmaris
Monitores Calidad,0,0,4,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,4,2021,Sudmaris
Tesorero,0,0,4,2021,Sudmaris
Asistente Contabilidad,0,0,4,2021,Sudmaris
Jefe RRHH,0,0,4,2021,Sudmaris
Jefe de Adquisicion,0,0,4,2021,Sudmaris
Prevencion de Riesgo,0,0,4,2021,Sudmaris
Control de Gestion,0,0,4,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,4,2021,Sudmaris
Operarios directos (produccion),161,14,4,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",33,4,4,2021,Sudmaris
Jefes de Turno,0,2,4,2021,Sudmaris
Supervisores Produccion,4,6,4,2021,Sudmaris
Supervisores Calidad,0,2,4,2021,Sudmaris
Monitores Calidad,10,4,4,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,4,2021,Sudmaris
Tesorero,1,1,4,2021,Sudmaris
Asistente Contabilidad,0,2,4,2021,Sudmaris
Jefe RRHH,0,1,4,2021,Sudmaris
Jefe de Adquisicion,0,1,4,2021,Sudmaris
Prevencion de Riesgo,1,2,4,2021,Sudmaris
Control de Gestion,0,2,4,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,5,23,4,2021,Sudmaris
Operarios directos (produccion),0,0,5,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,5,2021,Sudmaris
Jefes de Turno,0,0,5,2021,Sudmaris
Supervisores Produccion,0,0,5,2021,Sudmaris
Supervisores Calidad,0,0,5,2021,Sudmaris
Monitores Calidad,0,0,5,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,5,2021,Sudmaris
Tesorero,0,0,5,2021,Sudmaris
Asistente Contabilidad,0,0,5,2021,Sudmaris
Jefe RRHH,0,0,5,2021,Sudmaris
Jefe de Adquisicion,0,0,5,2021,Sudmaris
Prevencion de Riesgo,0,0,5,2021,Sudmaris
Control de Gestion,0,0,5,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,5,2021,Sudmaris
Operarios directos (produccion),150,14,5,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",29,4,5,2021,Sudmaris
Jefes de Turno,0,2,5,2021,Sudmaris
Supervisores Produccion,4,6,5,2021,Sudmaris
Supervisores Calidad,0,2,5,2021,Sudmaris
Monitores Calidad,10,4,5,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,5,2021,Sudmaris
Tesorero,1,1,5,2021,Sudmaris
Asistente Contabilidad,0,2,5,2021,Sudmaris
Jefe RRHH,0,1,5,2021,Sudmaris
Jefe de Adquisicion,0,1,5,2021,Sudmaris
Prevencion de Riesgo,1,2,5,2021,Sudmaris
Control de Gestion,0,2,5,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,3,28,5,2021,Sudmaris
Operarios directos (produccion),0,0,6,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,6,2021,Sudmaris
Jefes de Turno,0,0,6,2021,Sudmaris
Supervisores Produccion,0,0,6,2021,Sudmaris
Supervisores Calidad,0,0,6,2021,Sudmaris
Monitores Calidad,0,0,6,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,6,2021,Sudmaris
Tesorero,0,0,6,2021,Sudmaris
Asistente Contabilidad,0,0,6,2021,Sudmaris
Jefe RRHH,0,0,6,2021,Sudmaris
Jefe de Adquisicion,0,0,6,2021,Sudmaris
Prevencion de Riesgo,0,0,6,2021,Sudmaris
Control de Gestion,0,0,6,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,6,2021,Sudmaris
Operarios directos (produccion),136,13,6,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",29,4,6,2021,Sudmaris
Jefes de Turno,0,2,6,2021,Sudmaris
Supervisores Produccion,4,6,6,2021,Sudmaris
Supervisores Calidad,0,2,6,2021,Sudmaris
Monitores Calidad,8,4,6,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,12,6,2021,Sudmaris
Tesorero,0,2,6,2021,Sudmaris
Asistente Contabilidad,0,2,6,2021,Sudmaris
Jefe RRHH,0,1,6,2021,Sudmaris
Jefe de Adquisicion,0,1,6,2021,Sudmaris
Prevencion de Riesgo,1,2,6,2021,Sudmaris
Control de Gestion,0,2,6,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,2,26,6,2021,Sudmaris
Operarios directos (produccion),0,0,7,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,7,2021,Sudmaris
Jefes de Turno,0,0,7,2021,Sudmaris
Supervisores Produccion,0,0,7,2021,Sudmaris
Supervisores Calidad,0,0,7,2021,Sudmaris
Monitores Calidad,0,0,7,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,7,2021,Sudmaris
Tesorero,0,0,7,2021,Sudmaris
Asistente Contabilidad,0,0,7,2021,Sudmaris
Jefe RRHH,0,0,7,2021,Sudmaris
Jefe de Adquisicion,0,0,7,2021,Sudmaris
Prevencion de Riesgo,0,0,7,2021,Sudmaris
Control de Gestion,0,0,7,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,7,2021,Sudmaris
Operarios directos (produccion),129,15,7,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",29,4,7,2021,Sudmaris
Jefes de Turno,0,2,7,2021,Sudmaris
Supervisores Produccion,4,6,7,2021,Sudmaris
Supervisores Calidad,0,2,7,2021,Sudmaris
Monitores Calidad,8,4,7,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,7,2021,Sudmaris
Tesorero,0,2,7,2021,Sudmaris
Asistente Contabilidad,0,1,7,2021,Sudmaris
Jefe RRHH,0,1,7,2021,Sudmaris
Jefe de Adquisicion,0,1,7,2021,Sudmaris
Prevencion de Riesgo,1,2,7,2021,Sudmaris
Control de Gestion,0,2,7,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,2,30,7,2021,Sudmaris
Operarios directos (produccion),0,0,8,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,8,2021,Sudmaris
Jefes de Turno,0,0,8,2021,Sudmaris
Supervisores Produccion,0,0,8,2021,Sudmaris
Supervisores Calidad,0,0,8,2021,Sudmaris
Monitores Calidad,0,0,8,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,8,2021,Sudmaris
Tesorero,0,0,8,2021,Sudmaris
Asistente Contabilidad,0,0,8,2021,Sudmaris
Jefe RRHH,0,0,8,2021,Sudmaris
Jefe de Adquisicion,0,0,8,2021,Sudmaris
Prevencion de Riesgo,0,0,8,2021,Sudmaris
Control de Gestion,0,0,8,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,8,2021,Sudmaris
Operarios directos (produccion),120,15,8,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",27,4,8,2021,Sudmaris
Jefes de Turno,0,2,8,2021,Sudmaris
Supervisores Produccion,4,6,8,2021,Sudmaris
Supervisores Calidad,0,2,8,2021,Sudmaris
Monitores Calidad,8,4,8,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,8,2021,Sudmaris
Tesorero,0,1,8,2021,Sudmaris
Asistente Contabilidad,0,2,8,2021,Sudmaris
Jefe RRHH,0,1,8,2021,Sudmaris
Jefe de Adquisicion,0,1,8,2021,Sudmaris
Prevencion de Riesgo,1,2,8,2021,Sudmaris
Control de Gestion,0,2,8,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,3,28,8,2021,Sudmaris
Operarios directos (produccion),0,0,9,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,9,2021,Sudmaris
Jefes de Turno,0,0,9,2021,Sudmaris
Supervisores Produccion,0,0,9,2021,Sudmaris
Supervisores Calidad,0,0,9,2021,Sudmaris
Monitores Calidad,0,0,9,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,9,2021,Sudmaris
Tesorero,0,0,9,2021,Sudmaris
Asistente Contabilidad,0,0,9,2021,Sudmaris
Jefe RRHH,0,0,9,2021,Sudmaris
Jefe de Adquisicion,0,0,9,2021,Sudmaris
Prevencion de Riesgo,0,0,9,2021,Sudmaris
Control de Gestion,0,0,9,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,9,2021,Sudmaris
Operarios directos (produccion),59,17,9,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",20,4,9,2021,Sudmaris
Jefes de Turno,0,2,9,2021,Sudmaris
Supervisores Produccion,1,6,9,2021,Sudmaris
Supervisores Calidad,0,2,9,2021,Sudmaris
Monitores Calidad,0,7,9,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,13,9,2021,Sudmaris
Tesorero,0,1,9,2021,Sudmaris
Asistente Contabilidad,0,2,9,2021,Sudmaris
Jefe RRHH,0,1,9,2021,Sudmaris
Jefe de Adquisicion,0,1,9,2021,Sudmaris
Prevencion de Riesgo,1,2,9,2021,Sudmaris
Control de Gestion,0,2,9,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,2,30,9,2021,Sudmaris
Operarios directos (produccion),0,0,10,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,10,2021,Sudmaris
Jefes de Turno,0,0,10,2021,Sudmaris
Supervisores Produccion,0,0,10,2021,Sudmaris
Supervisores Calidad,0,0,10,2021,Sudmaris
Monitores Calidad,0,0,10,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,10,2021,Sudmaris
Tesorero,0,0,10,2021,Sudmaris
Asistente Contabilidad,0,0,10,2021,Sudmaris
Jefe RRHH,0,0,10,2021,Sudmaris
Jefe de Adquisicion,0,0,10,2021,Sudmaris
Prevencion de Riesgo,0,0,10,2021,Sudmaris
Control de Gestion,0,0,10,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,10,2021,Sudmaris
Operarios directos (produccion),0,0,11,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,11,2021,Sudmaris
Jefes de Turno,0,0,11,2021,Sudmaris
Supervisores Produccion,0,0,11,2021,Sudmaris
Supervisores Calidad,0,0,11,2021,Sudmaris
Monitores Calidad,0,0,11,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,11,2021,Sudmaris
Tesorero,0,0,11,2021,Sudmaris
Asistente Contabilidad,0,0,11,2021,Sudmaris
Jefe RRHH,0,0,11,2021,Sudmaris
Jefe de Adquisicion,0,0,11,2021,Sudmaris
Prevencion de Riesgo,0,0,11,2021,Sudmaris
Control de Gestion,0,0,11,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,11,2021,Sudmaris
Operarios directos (produccion),0,0,12,2021,Sudmaris
"Operarios Indirectos (Frigorifico, Aseo, etc)",0,0,12,2021,Sudmaris
Jefes de Turno,0,0,12,2021,Sudmaris
Supervisores Produccion,0,0,12,2021,Sudmaris
Supervisores Calidad,0,0,12,2021,Sudmaris
Monitores Calidad,0,0,12,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,0,0,12,2021,Sudmaris
Tesorero,0,0,12,2021,Sudmaris
Asistente Contabilidad,0,0,12,2021,Sudmaris
Jefe RRHH,0,0,12,2021,Sudmaris
Jefe de Adquisicion,0,0,12,2021,Sudmaris
Prevencion de Riesgo,0,0,12,2021,Sudmaris
Control de Gestion,0,0,12,2021,Sudmaris
Otro cargo que su trabajo esta asociado directamente con Planta,0,0,12,2021,Sudmaris
Operadores Mantencion y Administracion Directo Planta (Contador,1,16.3333,1,2021,Blue Shell
Monitores Calidad,1,18,1,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,10.4,1,2021,Blue Shell
Supervisores Produccion,2,31.66,1,2021,Blue Shell
Operarios directos (produccion),88,123.6,1,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,1,16.5333,2,2021,Blue Shell
Monitores Calidad,1,14.4,2,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,11.9,2,2021,Blue Shell
Supervisores Produccion,2,31.66,2,2021,Blue Shell
Operarios directos (produccion),88,120.6,2,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,1,16.2333,3,2021,Blue Shell
Monitores Calidad,1,16.7,3,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,13.5,3,2021,Blue Shell
Supervisores Produccion,2,32.5,3,2021,Blue Shell
Operarios directos (produccion),88,124.4,3,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,1,15.8,4,2021,Blue Shell
Monitores Calidad,1,16.5,4,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,13.5,4,2021,Blue Shell
Supervisores Produccion,2,32.9,4,2021,Blue Shell
Operarios directos (produccion),88,147.3,4,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,1,17.37,5,2021,Blue Shell
Monitores Calidad,1,17.49,5,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,13.1,5,2021,Blue Shell
Supervisores Produccion,2,30.44,5,2021,Blue Shell
Operarios directos (produccion),88,135.8,5,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,1,18,6,2021,Blue Shell
Monitores Calidad,1,16.63,6,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,12.5,6,2021,Blue Shell
Supervisores Produccion,2,30,6,2021,Blue Shell
Operarios directos (produccion),136,63.4,6,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,1,17.6,7,2021,Blue Shell
Monitores Calidad,1,16.63,7,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,11.8,7,2021,Blue Shell
Supervisores Produccion,2,32.2,7,2021,Blue Shell
Operarios directos (produccion),136,50.6,7,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,4,17.13,8,2021,Blue Shell
Monitores Calidad,2,15.94,8,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",2,12.1,8,2021,Blue Shell
Supervisores Produccion,2,31.4,8,2021,Blue Shell
Operarios directos (produccion),136,31.5,8,2021,Blue Shell
Operadores Mantencion y Administracion Directo Planta (Contador,4,21.83,9,2021,Blue Shell
Monitores Calidad,0,15.7,9,2021,Blue Shell
"Operarios Indirectos (Frigorifico, Aseo, etc)",3,4,9,2021,Blue Shell
Supervisores Produccion,0,25.5,9,2021,Blue Shell
Operarios directos (produccion),0,48.33,9,2021,Blue Shell
Operarios directos (produccion),270,3,1,2020,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",35,2,1,2020,St Andrews
Jefes de Turno,0,2,1,2020,St Andrews
Supervisores Produccion,8,2,1,2020,St Andrews
Supervisores Calidad,2,0,1,2020,St Andrews
Monitores Calidad,29,2,1,2020,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,25,10,1,2020,St Andrews
Tesorero,0,0,1,2020,St Andrews
Asistente Contabilidad,1,1,1,2020,St Andrews
Jefe RRHH,0,1,1,2020,St Andrews
Jefe de Adquisicion,0,1,1,2020,St Andrews
Prevencion de Riesgo,0,1,1,2020,St Andrews
Control de Gestion,0,0,1,2020,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,31,1,1,2020,St Andrews
Operarios directos (produccion),232,3,2,2020,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",59,1,2,2020,St Andrews
Jefes de Turno,0,2,2,2020,St Andrews
Supervisores Produccion,6,3,2,2020,St Andrews
Supervisores Calidad,2,1,2,2020,St Andrews
Monitores Calidad,34,2,2,2020,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,27,9,2,2020,St Andrews
Tesorero,0,0,2,2020,St Andrews
Asistente Contabilidad,0,2,2,2020,St Andrews
Jefe RRHH,0,1,2,2020,St Andrews
Jefe de Adquisicion,0,1,2,2020,St Andrews
Prevencion de Riesgo,0,1,2,2020,St Andrews
Control de Gestion,0,0,2,2020,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,39,0,2,2020,St Andrews
Operarios directos (produccion),238,3,3,2020,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",44,2,3,2020,St Andrews
Jefes de Turno,0,2,3,2020,St Andrews
Supervisores Produccion,10,2,3,2020,St Andrews
Supervisores Calidad,2,0,3,2020,St Andrews
Monitores Calidad,34,2,3,2020,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,32,10,3,2020,St Andrews
Tesorero,0,0,3,2020,St Andrews
Asistente Contabilidad,1,1,3,2020,St Andrews
Jefe RRHH,0,1,3,2020,St Andrews
Jefe de Adquisicion,0,1,3,2020,St Andrews
Prevencion de Riesgo,0,1,3,2020,St Andrews
Control de Gestion,0,0,3,2020,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,40,1,3,2020,St Andrews
Operarios directos (produccion),188,3,4,2020,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",39,2,4,2020,St Andrews
Jefes de Turno,0,2,4,2020,St Andrews
Supervisores Produccion,8,2,4,2020,St Andrews
Supervisores Calidad,2,0,4,2020,St Andrews
Monitores Calidad,16,2,4,2020,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,25,10,4,2020,St Andrews
Tesorero,0,0,4,2020,St Andrews
Asistente Contabilidad,1,1,4,2020,St Andrews
Jefe RRHH,0,1,4,2020,St Andrews
Jefe de Adquisicion,0,1,4,2020,St Andrews
Prevencion de Riesgo,0,1,4,2020,St Andrews
Control de Gestion,0,0,4,2020,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,44,1,4,2020,St Andrews
Operarios directos (produccion),198,0,5,2020,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",51,2,5,2020,St Andrews
Jefes de Turno,0,2,5,2020,St Andrews
Supervisores Produccion,7,2,5,2020,St Andrews
Supervisores Calidad,2,0,5,2020,St Andrews
Monitores Calidad,17,2,5,2020,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,25,10,5,2020,St Andrews
Tesorero,0,0,5,2020,St Andrews
Asistente Contabilidad,1,1,5,2020,St Andrews
Jefe RRHH,0,1,5,2020,St Andrews
Jefe de Adquisicion,0,1,5,2020,St Andrews
Prevencion de Riesgo,1,1,5,2020,St Andrews
Control de Gestion,0,0,5,2020,St Andrews
Otro cargo que su trabajo esta asociado directamente con Planta,43,1,5,2020,St Andrews
Operarios directos (produccion),202,0,6,2020,St Andrews
"Operarios Indirectos (Frigorifico, Aseo, etc)",46,2,6,2020,St Andrews
Jefes de Turno,0,2,6,2020,St Andrews
Supervisores Produccion,8,2,6,2020,St Andrews
Supervisores Calidad,1,0,6,2020,St Andrews
Monitores Calidad,16,2,6,2020,St Andrews
Operadores Mantencion y Administracion Directo Planta (Contador,25,10,6,2020,St Andrews
Tesorero,0,0,6,2020,St Andrews
Asistente Contabilidad,0,1,6,2020,St Andrews
Jefe RRHH,0,1,6,2020,St Andrews
Jefe de Adquisicion,0,1,6,2020,St Andrews
Prevencion de Riesgo,0,1,6,2020,St Andrews
Control de Gestion,0,0,6,2020,St Andrews
