Indicador,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Ingreso Materia Prima Terceros,0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,St Andrews
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,St Andrews
Ingreso Materia Prima Propia,5337992,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,St Andrews
Ingreso Materia Prima Neta Propia,4536272,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,St Andrews
Ingreso Materia Prima Terceros,653854,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,St Andrews
Unidades por kilo mmpp terceros*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,St Andrews
Ingreso Materia Prima Propia,6466206,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,St Andrews
Ingreso Materia Prima Neta Propia,5728102,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2020,St Andrews
Unidades por kilo mmpp propia*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,St Andrews
Ingreso Materia Prima Terceros,835522,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,St Andrews
Unidades por kilo mmpp terceros*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,St Andrews
Ingreso Materia Bruta Prima Propia,6271082,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,5491312,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,St Andrews
Unidades por kilo mmpp propia*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,994591,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,St Andrews
Unidades por kilo mmpp terceros*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2925309,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2516696,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,St Andrews
Unidades por kilo mmpp propia*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,710357,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2020,St Andrews
Unidades por kilo mmpp terceros*,63,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2020,St Andrews
Ingreso Materia Bruta Prima Propia,139724,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,116906,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2020,St Andrews
Unidades por kilo mmpp propia*,74.6,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,409264,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2020,St Andrews
Unidades por kilo mmpp terceros*,66,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1210219,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,965927,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,St Andrews
Unidades por kilo mmpp propia*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,2714180,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,St Andrews
Unidades por kilo mmpp terceros*,60,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1858391,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1513207,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,St Andrews
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,2552391,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,St Andrews
Unidades por kilo mmpp terceros*,57,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2414885,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1824267,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2020,St Andrews
Unidades por kilo mmpp propia*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,1262754,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,St Andrews
Unidades por kilo mmpp terceros*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,St Andrews
Ingreso Materia Prima Propia,2673078,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,St Andrews
Ingreso Materia Prima Neta Propia,2040468,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,St Andrews
Unidades por kilo mmpp propia*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,St Andrews
Ingreso Materia Prima Terceros,957132,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,St Andrews
Unidades por kilo mmpp terceros*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2581683,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1905055,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,1008930,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,St Andrews
Unidades por kilo mmpp terceros*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,St Andrews
Ingreso Materia Bruta Prima Propia,2436799,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1780147,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,St Andrews
Unidades por kilo mmpp propia*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,St Andrews
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,St Andrews
Ingreso Materia Bruta Prima Propia,3095647,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2609902,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,776388,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,St Andrews
Unidades por kilo mmpp terceros*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,St Andrews
Ingreso Materia Bruta Prima Propia,3301726,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,2836277,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,St Andrews
Unidades por kilo mmpp propia*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,721575,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,St Andrews
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,St Andrews
Ingreso Materia Bruta Prima Propia,3879797,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,3280465,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,St Andrews
Unidades por kilo mmpp propia*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,928294,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,St Andrews
Unidades por kilo mmpp terceros*,59,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1755695,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1386503,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,St Andrews
Unidades por kilo mmpp propia*,62,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,579888,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2020,St Andrews
Unidades por kilo mmpp terceros*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2020,St Andrews
Ingreso Materia Bruta Prima Propia,610500,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,479400,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,St Andrews
Unidades por kilo mmpp propia*,56,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,2371672,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,St Andrews
Unidades por kilo mmpp terceros*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,St Andrews
Ingreso Materia Bruta Prima Propia,1473550,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,St Andrews
Ingreso Materia Prima Neta o Pagada Propia,1181568,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,12,2020,St Andrews
Unidades por kilo mmpp propia*,54,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,St Andrews
Ingreso Materia Prima Bruta Terceros,0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,St Andrews
Unidades por kilo mmpp terceros*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,St Andrews
Ingreso Materia Prima Propia,639135,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,Landes
Ingreso Materia Prima Neta Propia,565288,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2020,Landes
Unidades por kilo mmpp propia*,68.2,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,Landes
Ingreso Materia Prima Terceros,2231777,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,Landes
Ingreso Materia Prima Neta Terceros,1945953,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,1,2020,Landes
Unidades por kilo mmpp terceros*,78,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,Landes
Ingreso Materia Prima Propia,385670,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,Landes
Ingreso Materia Prima Neta Propia,342068,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2020,Landes
Unidades por kilo mmpp propia*,73,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,Landes
Ingreso Materia Prima Terceros,2456611,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,Landes
Ingreso Materia Prima Neta Terceros,2201068,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,2,2020,Landes
Unidades por kilo mmpp terceros*,74.3,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,Landes
Ingreso Materia Prima Propia,378010,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,Landes
Ingreso Materia Prima Neta Propia,354809,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,3,2020,Landes
Unidades por kilo mmpp propia*,80,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,Landes
Ingreso Materia Prima Terceros,2418896,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,Landes
Ingreso Materia Prima Neta Terceros,2186924,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,3,2020,Landes
Unidades por kilo mmpp terceros*,72.1,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,Landes
Ingreso Materia Prima Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,Landes
Ingreso Materia Prima Neta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,4,2020,Landes
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,Landes
Ingreso Materia Prima Terceros,2607710,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,Landes
Ingreso Materia Prima Neta Terceros,2358944,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,4,2020,Landes
Unidades por kilo mmpp terceros*,68,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,Landes
Ingreso Materia Prima Propia,351362,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,Landes
Ingreso Materia Prima Neta Propia,332102,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2020,Landes
Unidades por kilo mmpp propia*,78.5,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,Landes
Ingreso Materia Prima Terceros,3346273,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,Landes
Ingreso Materia Prima Neta Terceros,3014053,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,5,2020,Landes
Unidades por kilo mmpp terceros*,71.7,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,Landes
Ingreso Materia Prima Propia,601405,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,Landes
Ingreso Materia Prima Neta Propia,564153,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,6,2020,Landes
Unidades por kilo mmpp propia*,78.7,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,Landes
Ingreso Materia Prima Terceros,4211324,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,Landes
Ingreso Materia Prima Neta Terceros,3791397,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,6,2020,Landes
Unidades por kilo mmpp terceros*,74.2,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,Landes
Ingreso Materia Prima Propia,242183,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,Landes
Ingreso Materia Prima Neta Propia,228183,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,7,2020,Landes
Unidades por kilo mmpp propia*,68,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,Landes
Ingreso Materia Prima Terceros,3934485,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,Landes
Ingreso Materia Prima Neta Terceros,3394426,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,7,2020,Landes
Unidades por kilo mmpp terceros*,76.3,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,Landes
Ingreso Materia Prima Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,Landes
Ingreso Materia Prima Neta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,11,2020,Landes
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,Landes
Ingreso Materia Prima Terceros,522505,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,Landes
Ingreso Materia Prima Neta Terceros,424737,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,11,2020,Landes
Unidades por kilo mmpp terceros*,76.9,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,11,2020,Landes
Ingreso Materia Prima Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,12,2020,Landes
Ingreso Materia Prima Neta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,12,2020,Landes
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,12,2020,Landes
Ingreso Materia Prima Terceros,3372285,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,12,2020,Landes
Ingreso Materia Prima Neta Terceros,2533781,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,12,2020,Landes
Unidades por kilo mmpp terceros*,70.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,12,2020,Landes
Ingreso Materia Bruta Prima Propia,2422121.45,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,2232370,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2020,Camanchaca
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,984246.805,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,917285,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2020,Camanchaca
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,2755517,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,2607607,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2020,Camanchaca
Unidades por kilo mmpp propia*,73,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,1045385,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,907989,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2020,Camanchaca
Unidades por kilo mmpp terceros*,69,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,2344771.904,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,2167072,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2020,Camanchaca
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,657522.866,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,609947,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2020,Camanchaca
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,2133192.214,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,4,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,1971527,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,Camanchaca
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,4,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,19826.376,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,4,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,18426,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,4,2020,Camanchaca
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,4,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,3052426,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,Camanchaca
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,487325.1395,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2020,Camanchaca
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,5147076,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,4765812,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,Camanchaca
Unidades por kilo mmpp propia*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,1652867,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,1530433,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2020,Camanchaca
Unidades por kilo mmpp terceros*,0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,2423457.343,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,2243941.985,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,Camanchaca
Unidades por kilo mmpp propia*,61,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,1638001.547,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,1516668.099,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2020,Camanchaca
Unidades por kilo mmpp terceros*,58,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2020,Camanchaca
Ingreso Materia Bruta Prima Propia,2135231.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Propia,1928000,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,Camanchaca
Unidades por kilo mmpp propia*,71,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,Camanchaca
Ingreso Materia Prima Bruta Terceros,1345603,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,Camanchaca
Ingreso Materia Prima Neta o Pagada Terceros,1253700,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,Camanchaca
